# reccmp-compatible function catalog for SERVER
# Generated by validate.py — do not edit manually
#
# Columns: address (hex) | name | symbol | type | size (decimal)

address|name|symbol|type|size
0x1000d060|FUN_1000d060|_FUN_1000d060|function|169
0x1000d110|||function|333
0x1000d260|check_cutscene_ready|_check_cutscene_ready|function|120
0x1000d2e0|validate_command_type|_validate_command_type|function|77
0x1000e690|func_1000e690|_func_1000e690|function|191
0x1000e9c0|func_1000e9c0|_func_1000e9c0|function|214
0x1000f030|CmdKillPlayer|_CmdKillPlayer|function|72
0x1000f940|call_with_off2|_call_with_off2|function|22
0x1000fb30|||function|153
0x1000fbd0|cond_write|_cond_write|function|22
0x1000ff10|cond_write2|_cond_write2|function|22
0x1000ff60|CutsceneEntityUpdate|_CutsceneEntityUpdate|function|82
0x1000ffc0|ModifyEntityHealth|_ModifyEntityHealth|function|70
0x10010010|ModifyEntityStamina|_ModifyEntityStamina|function|110
0x100100a0|ModifyEntityStat|_ModifyEntityStat|function|159
0x100104a0|GetBuildingStatCount|_GetBuildingStatCount|function|135
0x10010530|check_slot_active|_check_slot_active|function|113
0x100105b0|GetSlotEntry|_GetSlotEntry|function|329
0x10010710|||function|320
0x10010850|||function|370
0x100109d0|||function|832
0x10010d10|||function|570
0x10010f50|free_3fields|_free_3fields|function|66
0x10010fa0|||function|525
0x100111b0|||function|501
0x100113b0|||function|390
0x10011540|func_10011540|_func_10011540|function|288
0x10011660|func_10011660|_func_10011660|function|297
0x10011790|func_10011790|_func_10011790|function|242
0x10011890|ValidateEntityAction|_ValidateEntityAction|function|164
0x10011940|||function|674
0x10011bf0|||function|1040
0x10012000|||function|728
0x100122e0|||function|346
0x10012440|call_and_bool|_call_and_bool|function|37
0x10012470|||function|857
0x100127d0|func_100127d0|_func_100127d0|function|282
0x100128f0|||function|1463
0x10012eb0|||function|884
0x10013230|||function|2268
0x10013b10|||function|1361
0x10014070|||function|491
0x10014260|||function|892
0x100145e0|func_100145e0|_func_100145e0|function|209
0x100146c0|func_100146c0|_func_100146c0|function|236
0x100147b0|||function|670
0x10014a50|||function|157
0x10014af0|func_10014af0|_func_10014af0|function|247
0x10014bf0|HandleEntitySync|_HandleEntitySync|function|163
0x10014ca0|func_10014ca0|_func_10014ca0|function|265
0x10014db0|func_10014db0|_func_10014db0|function|267
0x10014ee0|SearchRecordTable|_SearchRecordTable|function|69
0x10014f30|FindRecord|_FindRecord|function|74
0x10014f80|find_zone_record|_find_zone_record|function|103
0x10014ff0|func_10014ff0|_func_10014ff0|function|175
0x100150a0|func_100150a0|_func_100150a0|function|257
0x100151b0|GetStatPair|_GetStatPair|function|41
0x100151e0|||function|535
0x10015400|priority_update|_priority_update|function|83
0x10015460|StartEntityQueryByType|_StartEntityQueryByType|function|145
0x10015500|func_10015500|_func_10015500|function|180
0x100155c0|func_100155c0|_func_100155c0|function|197
0x10015690|SetSyncParams|_SetSyncParams|function|41
0x100156c0|||function|642
0x10015950|||function|861
0x10015cb0|reset_all_entities|_reset_all_entities|function|57
0x10015cf0|func_10015cf0|_func_10015cf0|function|194
0x10015dc0|FindRecordById|_FindRecordById|function|55
0x10015e00|cleanup_all_entities|_cleanup_all_entities|function|135
0x10015e90|ResolveEntityById|_ResolveEntityById|function|211
0x10015f70|||function|714
0x10016240|FindSlotById|_FindSlotById|function|72
0x10016290|NextEntityQueryMatch|_NextEntityQueryMatch|function|464
